,S_0,S_1,E_0,E_1,I_0_AS,I_0_GP,I_0_H,I_0_ICU,I_1_AS,I_1_GP,I_1_H,I_1_ICU,R_0_AS,R_0_GP,R_0_H,R_0_ICU,R_1_AS,R_1_GP,R_1_H,R_1_ICU,D_0_AS,D_0_GP,D_0_H,D_0_ICU,D_1_AS,D_1_GP,D_1_H,D_1_ICU
0,30000000.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29999996.274214745,0.0,3.7146047019474677,0.0,0.0067022197645132085,98.69299608656328,0.11896167954133871,1.788553441224104e-05,0.0,0.0,0.0,0.0,5.982905869992445e-06,1.189866532558321,0.00024497255491533627,1.277280373379026e-08,0.0,0.0,0.0,0.0,0.0,0.0023845020692551456,6.872977492614688e-07,7.167104299521531e-11,0.0,0.0,0.0,0.0
2,29999992.596879806,0.0,7.358681559767755,0.0,0.026614516664374758,97.41190575190156,0.23585021769730374,7.107456167903991e-05,0.0,0.0,0.0,0.0,4.7600304117251535e-05,2.3642345142901364,0.000974186804284259,1.0167589017590602e-07,0.0,0.0,0.0,0.0,0.0,0.004737944918417079,2.733189430857657e-06,5.705260370591906e-10,0.0,0.0,0.0,0.0
3,29999988.966954432,0.0,10.933690152334078,0.0,0.059449889042839904,96.15622272440538,0.35070626258615883,0.00015887600379284566,0.0,0.0,0.0,0.0,0.00015977807853210618,3.5234112782018587,0.0021792131136244577,3.414751061432025e-07,0.0,0.0,0.0,0.0,0.0,0.0070609444452942784,6.114024767683866e-06,1.9160927799618563e-09,0.0,0.0,0.0,0.0
4,29999985.383418377,0.0,14.441060871795692,0.0,0.1049273164991904,94.92545082220026,0.46356966556033646,0.0002806123369077591,0.0,0.0,0.0,0.0,0.0003766826380020164,4.667698151232354,0.003851787208848634,8.054720452416495e-07,0.0,0.0,0.0,0.0,0.0,0.009354104511487655,1.0806617419615422e-05,4.51968281899122e-09,0.0,0.0,0.0,0.0
5,29999981.845271487,0.0,17.882195519318053,0.0,0.16277163729556804,93.71910374770049,0.5744794973749537,0.0004356193200014021,0.0,0.0,0.0,0.0,0.0007317370314268996,5.797390576464597,0.005983806866285025,1.565533385032557e-06,0.0,0.0,0.0,0.0,0.0,0.011618017187303778,1.678823569699207e-05,8.78455606831896e-09,0.0,0.0,0.0,0.0
6,29999978.3515333,0.0,21.258467874715897,0.0,0.23271343101938147,92.53670489119,0.6834740636389843,0.0006232457356337296,0.0,0.0,0.0,0.0,0.0012576363947069328,6.912778229912699,0.008567328750306524,2.6921189192787375e-06,0.0,0.0,0.0,0.0,0.0,0.013853262985796977,2.4036593688234728e-05,1.510607810416929e-08,0.0,0.0,0.0,0.0
7,29999974.901242644,0.0,24.57122427250289,0.0,0.31448889992128803,91.37778713219168,0.7905909204401336,0.00084285312780541,0.0,0.0,0.0,0.0,0.0019863635728812265,8.01414513862276,0.011594565215524301,4.25430989987194e-06,0.0,0.0,0.0,0.0,0.0,0.016060411099444404,3.252984228804408e-05,2.3871879197678268e-08,0.0,0.0,0.0,0.0
8,29999971.493457254,0.0,27.82178414479386,0.0,0.40783975709499215,90.24189265226168,0.8958668890723882,0.0010938155547996443,0.0,0.0,0.0,0.0,0.0029492038374609375,9.101769791986687,0.015057881292038377,6.319835778944404e-06,0.0,0.0,0.0,0.0,0.0,0.018240019623219802,4.224656073918576e-05,3.5462004370830394e-08,0.0,0.0,0.0,0.0
9,29999968.127253406,0.0,31.011440533078158,0.0,0.5125131210821995,89.12857275851347,0.9993380699208795,0.0013755193560952836,0.0,0.0,0.0,0.0,0.004176758754070904,10.17592524668223,0.018949791842600525,8.955099448502403e-06,0.0,0.0,0.0,0.0,0.0,0.020392635764894224,5.3165748656594445e-05,5.02490550216569e-08,0.0,0.0,0.0,0.0
10,29999964.801725537,0.0,34.1414606417698,0.0,0.6282614018548653,88.03738769274203,1.1010398574777194,0.0016873629003933115,0.0,0.0,0.0,0.0,0.005698961190297773,11.236879240167056,0.023262958489040336,1.2225204497125453e-05,0.0,0.0,0.0,0.0,0.0,0.022518796072479034,6.526681740412084e-05,6.8598341867638e-08,0.0,0.0,0.0,0.0
11,29999961.515985887,0.0,37.21308635042525,0.0,0.7548421953281137,86.96790645479487,1.2010069542388266,0.0020287563523334654,0.0,0.0,0.0,0.0,0.00754508919569556,12.284894295709549,0.0279901867670162,1.6193980469756073e-05,0.0,0.0,0.0,0.0,0.0,0.024619026644708473,7.852958211186874e-05,9.08680266840022e-08,0.0,0.0,0.0,0.0
12,29999958.269164126,0.0,40.22753472787067,0.0,0.8920181774788708,85.91970662528492,1.2992733846524054,0.002399121438350122,0.0,0.0,0.0,0.0,0.00974377993403867,13.320227827810468,0.033124423270244265,2.092400821894533e-05,0.0,0.0,0.0,0.0,0.0,0.0266938433423055,9.293425366401154e-05,1.1740926455520447e-07,0.0,0.0,0.0,0.0
13,29999955.06040703,0.0,43.185998501305804,0.0,1.0395570077586909,84.89237420382143,1.3958725078488354,0.002797891232865833,0.0,0.0,0.0,0.0,0.012323042385826705,14.343132238406534,0.038658753043234476,2.64766430872741e-05,0.0,0.0,0.0,0.0,0.0,0.028743751980774564,0.00010846143138382373,1.4856633395664849e-07,0.0,0.0,0.0,0.0
